"route_name","state_num","route","st_abrev","country","population_100km","population_200km","population_300km","pop_5th_percentile_100km","pop_5th_percentile_200km","pop_5th_percentile_300km","bcr","latitude","longitude","n_surveys_total","n_surveys_since_2018","Surveyed_by_in_1966","Surveyed_by_in_1967","Surveyed_by_in_1968","Surveyed_by_in_1969","Surveyed_by_in_1970","Surveyed_by_in_1971","Surveyed_by_in_1972","Surveyed_by_in_1973","Surveyed_by_in_1974","Surveyed_by_in_1975","Surveyed_by_in_1976","Surveyed_by_in_1977","Surveyed_by_in_1978","Surveyed_by_in_1979","Surveyed_by_in_1980","Surveyed_by_in_1981","Surveyed_by_in_1982","Surveyed_by_in_1983","Surveyed_by_in_1984","Surveyed_by_in_1985","Surveyed_by_in_1986","Surveyed_by_in_1987","Surveyed_by_in_1988","Surveyed_by_in_1989","Surveyed_by_in_1990","Surveyed_by_in_1991","Surveyed_by_in_1992","Surveyed_by_in_1993","Surveyed_by_in_1994","Surveyed_by_in_1995","Surveyed_by_in_1996","Surveyed_by_in_1997","Surveyed_by_in_1998","Surveyed_by_in_1999","Surveyed_by_in_2000","Surveyed_by_in_2001","Surveyed_by_in_2002","Surveyed_by_in_2003","Surveyed_by_in_2004","Surveyed_by_in_2005","Surveyed_by_in_2006","Surveyed_by_in_2007","Surveyed_by_in_2008","Surveyed_by_in_2009","Surveyed_by_in_2010","Surveyed_by_in_2011","Surveyed_by_in_2012","Surveyed_by_in_2013","Surveyed_by_in_2014","Surveyed_by_in_2015","Surveyed_by_in_2016","Surveyed_by_in_2017","Surveyed_by_in_2018","Surveyed_by_in_2019","Surveyed_by_in_2021","Surveyed_by_in_2022","Surveyed_by_in_2023"
"BURGEO SO",57,8,"NL","CA",2736,89496,291728,FALSE,FALSE,FALSE,8,47.61596,-57.623760000000004,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080631,1080631,1080631,1080631,1080631,1080631,1080631,1080631,NA,NA,1080631,1080631
"Port Hope Simpson",57,27,"NL","CA",2847,14197,24510,FALSE,FALSE,TRUE,8,52.329499,-56.02259800000001,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120443,1120443,NA,NA,NA,1120443,1140800
"ST ANTHONY",57,24,"NL","CA",9635,23824,108471,FALSE,FALSE,FALSE,8,51.37223,-55.59776,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,1090161,1090161,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970300,970300,NA,NA,NA,1190765,1190765,1190765,1190765,1190765,1190765,NA,1190765,1120443,1120443,1120443,1120443,NA,1120443,NA
"Red Bay",57,225,"NL","CA",9740,16388,45109,FALSE,FALSE,FALSE,8,51.93558,-56.36639,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020279,981314,NA,NA,NA,NA,NA,1120443,1120443,NA,981458,NA
"Goose Bay",57,35,"NL","CA",9879,10394,16883,FALSE,FALSE,TRUE,8,53.29330200000001,-60.362987,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091246,NA,NA,NA
"HAPPY VALLEY",57,36,"NL","CA",9879,10394,17102,FALSE,FALSE,TRUE,8,53.29591000000001,-60.299870000000006,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160222,1160222,1160222,1160222,1160222,1160222,1150877,1150877,NA,1150877,1150877,1150877,1150877,1010289,NA,990776,990776,990776,NA,1190896,1190896,1190896,1190896,1190896,1190896,1190896,1190896,NA,NA
"PORT SAUNDERS",57,23,"NL","CA",11149,71598,150028,FALSE,FALSE,FALSE,8,50.690450000000006,-57.34239,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070144,1190096,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020279,981314,NA,1120443,1120443,1190765,NA,NA,NA,NA,NA,NA
"L'Anse-au-Loup",57,26,"NL","CA",11417,18830,62202,FALSE,FALSE,FALSE,8,51.72073900000001,-56.666545000000006,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120443,1120443,981458,981458,981458,981458,981458
"Labrador City",57,41,"NL","CA",11647,13990,13990,FALSE,FALSE,TRUE,7,53.04657,-66.52966,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981217,981217,981217,981217,NA,NA,1041022,1190896,1190896,NA,1190896,NA,1190896,1190896,NA
"FLOWERS COVE",57,125,"NL","CA",14073,25099,122026,FALSE,FALSE,FALSE,8,51.312279999999994,-56.74056,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090375,NA,NA,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020279,981314,NA,NA,1120443,NA,1120443,1120443,1120443,NA,1120443,NA
"RODDICKTON",57,22,"NL","CA",14142,52383,144110,FALSE,FALSE,FALSE,8,50.874599999999994,-56.12527000000001,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1090161,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190765,1190765,1190765,1190765,1190765,NA,1190765,NA,NA,NA,NA,NA,1190974,1190974
"LAWN",57,2,"NL","CA",21660,95664,445694,FALSE,FALSE,FALSE,8,46.93472,-55.535590000000006,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lords Cove",57,102,"NL","CA",21660,95664,445694,FALSE,FALSE,FALSE,8,46.93472,-55.535590000000006,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624,1190624
"O'REGANS",57,10,"NL","CA",24020,106612,249462,FALSE,FALSE,FALSE,8,47.86874,-59.192220000000006,23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1190096,1190096,NA,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980686,NA,NA,NA,980686,NA,NA,NA,NA,NA,980686,980686,980686,980686,980686,NA,980686,980686,980686,980686,980686,980686,980686,980686,980686,980686,980686,980686
"GRAND BANK",57,6,"NL","CA",25002,78731,460357,FALSE,FALSE,FALSE,8,47.09373000000001,-55.73472,22,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190625,1190625,1190625,1190625,1190625,1190625,1190625,1190625,NA,1190625,1190625,1190625,1190625,1190625,1190625,1190625,1190625,1190625,1190625,1190625
"ST DAVIDS",57,16,"NL","CA",25561,70976,251845,FALSE,FALSE,FALSE,8,48.22512000000001,-58.844429999999996,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,NA,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120549,1120549,1180161,1180161,1180161,1180161,1180161,1180161,1180161,1180161,1180161,1180161,NA,NA,1140540,1140540,1140540
"ST PAULS",57,21,"NL","CA",25809,110773,167388,FALSE,FALSE,FALSE,8,49.85593,-57.79948,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000158,1000023,1000023,1110098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140540,1100200,NA,NA,NA,1100200,1100200,NA,NA,1100200,NA,1190765,1190765,NA,1190765,NA,NA
"BONAVISTA",57,11,"NL","CA",38585,361959,403219,FALSE,FALSE,FALSE,8,48.70126,-53.08542,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1190096,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060257,1060257,NA,NA,NA,NA,NA,NA,NA,1120642,NA,NA,NA,1151558,1151558,1151558,1151558,1151558,NA,NA,NA
"BAY L'ARGENT",57,105,"NL","CA",43236,376403,455276,FALSE,FALSE,FALSE,8,47.582730000000005,-54.880359999999996,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190765,NA,NA,NA,1020279,1020279,NA,1020279,1020279,NA,1020279,NA,1020279,NA,NA,NA
"HARBOUR MILLE",57,5,"NL","CA",43236,376403,455276,FALSE,FALSE,FALSE,8,47.58256,-54.88131,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOODY POINT",57,121,"NL","CA",45590,106381,171539,FALSE,FALSE,FALSE,8,49.49230000000001,-57.926550000000006,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000158,NA,1040557,NA,NA,NA,NA,NA,NA,NA,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1140540,1080728,1080728,NA
"SHEAVES COVE",57,9,"NL","CA",47033,70764,237938,FALSE,FALSE,FALSE,8,48.52782,-59.04093,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020505,NA,1020505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BURGEO ROAD",57,15,"NL","CA",48745,103848,276265,FALSE,FALSE,FALSE,8,48.175050000000006,-57.743770000000005,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1090161,1090161,1190096,NA,NA,NA,NA,NA,NA,NA,NA,1090161,NA,NA,NA,NA,NA,NA,NA,NA,1120443,1120443,1120443,1120443,NA,1120443,1120443,1120443,1120443,1120443,NA,NA,1120443,1120443,1120443,1120443,1120443,1120443,NA,1120443,1120443
"BURLINGTON",57,20,"NL","CA",49304,136066,213597,FALSE,FALSE,FALSE,8,49.75178,-56.023900000000005,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140598,1140598,NA,NA,1030633,NA,NA,NA,NA,NA,990749,990749,NA,990749,990749,990749
"Scab Cove",57,120,"NL","CA",55590,138473,216278,FALSE,FALSE,FALSE,8,49.379968,-56.982778,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190765,1190765,1190765,1190765,1190765,1190765,NA
"TERRA NOVA",57,12,"NL","CA",57241,387417,419904,FALSE,FALSE,FALSE,8,48.648390000000006,-53.870889999999996,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980216,980216,980216,980216,980216,980216,NA,NA,980216,NA,NA,NA,980216,NA,NA,NA,NA,NA,1150857,1150857,1150857,1150857,1150857,1150857,NA,1150857,1020275,1020275,1150857,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,1020275,NA,1020275
"NW GANDER RIVER",57,13,"NL","CA",59077,174833,478193,FALSE,FALSE,FALSE,8,48.84491,-55.50898,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070144,980216,980216,980216,980216,980216,NA,980216,NA,NA,NA,980216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150981,NA,1150981,1150981,NA,NA,1150981,1150981,NA,NA,NA,1150981,NA,NA,NA,NA,NA,1190974,1190974,1190974
"BUCHANS",57,14,"NL","CA",59552,142485,260162,FALSE,FALSE,FALSE,8,48.80759,-56.78723,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1190096,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980858,980858,980858,NA,NA,980858,980858,NA,NA,1151452,1151452,1151452,1151452,1151558,1151558,1151558,1151558,1151558,990749,990749,990749
"TREPASSEY",57,1,"NL","CA",63941,309918,360100,FALSE,FALSE,FALSE,8,46.70801000000001,-53.4743,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120155,NA,1120155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040666,NA,NA,1040666,1040666,NA,1040666,NA,NA,NA,981314,981314,NA,NA,NA,NA,990749,981459,981459,NA,981459,NA
"TEMPLEMAN",57,117,"NL","CA",63975,370581,440670,FALSE,FALSE,FALSE,8,49.016305,-53.8854115,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030588,NA,NA
"WAREHAM",57,17,"NL","CA",63975,370581,440670,FALSE,FALSE,FALSE,8,49.0163,-53.88541,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070144,NA,1090161,1090161,1090161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030588,1030588,1030588,NA,NA,1030588,NA,NA,NA,1030588,NA,NA,NA,NA
"NORTHERN ARM",57,19,"NL","CA",67811,157988,477907,FALSE,FALSE,FALSE,8,49.17495,-55.37649,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190096,1190096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080613,NA,1080613,NA,NA,NA
"GANDER BAY",57,18,"NL","CA",70317,131895,460123,FALSE,FALSE,FALSE,8,49.26633000000001,-54.483689999999996,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120155,1120155,1120155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980787,980787,980787,980787,980787,980787,980787,980787,981175,981175,981175,981175,981175,NA,NA,NA,NA,NA,981440,981440,981440,NA,NA,NA
"ST JOHN'S",57,3,"NL","CA",267052,316604,388697,FALSE,FALSE,FALSE,8,47.58181999999999,-52.67830000000001,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990134,NA,NA,NA,1080230,1190096,NA,1190096,NA,NA,1090161,NA,1080230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150855,1150855,1150855,1150855,1150855,NA,NA,NA,NA,1120549,1120549,1000582,1000582,1000582,1000582,1000582,1000582,1000582,1000582,1000582,1000582,NA,NA,NA
"HEART'S DELIGHT",57,4,"NL","CA",290275,348719,399567,FALSE,FALSE,FALSE,8,47.7166,-53.49419,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120155,1120155,1120155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120443,1120443,1120443,1120443,1120443,1120443,NA,NA,NA,NA,NA,NA,990749,NA,990749,990749,990749
"BARRINGTON",65,38,"NS","CA",43322,166353,1027470,FALSE,FALSE,FALSE,14,43.41355,-65.62198,39,3,NA,1060009,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,1000040,NA,NA,NA,NA,NA,NA,NA,NA,1000036,1000036,1000036,1000036,1000036,1000036,1000036,1000036,1000036,NA,1000036,1000036,NA,1000036,1000036,NA,1120522,NA,NA,970389,970389,NA,970389,NA,970389,970389,970389,NA,970389,970389,NA,970389
"CAPE NORTH",65,2,"NS","CA",44707,195054,485411,FALSE,FALSE,FALSE,14,47.01885,-60.523140000000005,24,1,NA,NA,1080639,1080639,1080639,1100001,1100001,NA,1080033,NA,NA,980216,980216,NA,980216,NA,1040041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080032,1080032,NA,1080032,1080032,1080032,1080032,NA,NA,1080032,NA,NA,1080032,NA,1080032,NA,NA,1080032,NA,1190504,NA,1190504,1080666,1080666,NA,NA,NA,NA
"COMEAUS HILL",65,41,"NS","CA",51215,306754,1236564,FALSE,FALSE,FALSE,14,43.68531200000001,-66.02367699999999,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000667,1000667,NA,NA,NA
"Port Maitland",65,40,"NS","CA",55596,335080,1259208,FALSE,FALSE,FALSE,14,43.806963999999994,-66.15854099999999,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070060,1070060,1070060,1070060,1070060,NA
"Cape St Mary's",65,32,"NS","CA",64025,413829,1323507,FALSE,FALSE,FALSE,14,44.085685999999995,-66.207746,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970419,970419,970419,970419,970419,NA,970419,970419
"LARRY'S RIVER",65,11,"NS","CA",73381,833311,1283342,FALSE,FALSE,FALSE,14,45.15381,-61.583510000000004,46,2,NA,NA,1010002,NA,NA,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1040041,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,NA,1091213,NA,NA,1091213,1091213,NA,NA,NA,NA,1041198,1041198
"RICHFIELD",65,35,"NS","CA",75557,695600,1337566,FALSE,FALSE,FALSE,14,44.118570000000005,-65.92385,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970223,NA,1030377,1030377,1030377,1030377,NA,NA,NA,NA,NA,NA,NA,NA,990842,NA,990842,990842,990842,990842,990842,990842,990842,NA,990842,990842
"SHELBURNE",65,37,"NS","CA",92698,798333,1328593,FALSE,FALSE,FALSE,14,43.79576000000001,-65.24425000000002,44,3,1010004,1010004,1010004,1010004,1010004,1010004,1010004,NA,NA,NA,NA,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,990172,NA,990172,990172,990172,990172,990172,990172,1150812,1150812,1000036,1000036,NA,1000036,NA,NA,NA,1040881,NA,1040881,1040881,NA,1040881,1040881,1040881,1040881,1040881,1040881,1040881,NA,1040881,NA
"ROMAN VALLEY",65,9,"NS","CA",97784,907440,1314262,FALSE,FALSE,FALSE,14,45.38832,-61.82158,44,NA,1010002,1010002,1010002,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,NA,1020045,1020045,1020045,NA,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,NA,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,1020045,NA,NA,NA,NA,1091213,1091213,NA,NA,NA,NA,NA,NA
"Crows Nest",65,15,"NS","CA",99689,939582,1325240,FALSE,FALSE,FALSE,14,45.193689,-62.00449,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703
"MIRA GUT",65,8,"NS","CA",110723,170602,420520,FALSE,FALSE,FALSE,14,46.1186833,-59.88708329999999,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090680,1090680,1090680
"PLEASANT BAY",65,3,"NS","CA",114069,324814,587813,FALSE,FALSE,FALSE,14,46.7198,-60.9298,26,5,NA,1100001,1100001,1100001,NA,1100001,1100001,NA,1080033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090499,1090499,NA,1090499,1090499,1090499,1090499,1090499,NA,NA,NA,NA,NA,NA,NA,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504
"BOISDALE",65,7,"NS","CA",130163,235535,514442,FALSE,FALSE,FALSE,14,46.153859999999995,-60.33924,28,5,NA,NA,NA,NA,1140084,1140084,NA,NA,1140084,1140084,1140084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090499,1090499,1090499,1090499,1090499,1090499,1090499,1090499,1090499,1090499,1090499,NA,NA,NA,NA,NA,NA,NA,NA,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504,1190504
"LOCH LOMOND",65,6,"NS","CA",139983,247901,955683,FALSE,FALSE,FALSE,14,45.79803000000001,-60.630010000000006,19,2,1000013,1010002,1000013,1000013,1000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080032,1080032,1080032,1080032,NA,1080032,NA,1080032,1080032,NA,NA,NA,NA,1080032,1080032,NA,1091265,1091265,NA,1091265,NA,NA,1091265,NA,1091265
"PT MICHAUD",65,5,"NS","CA",142576,258525,973734,FALSE,FALSE,FALSE,14,45.583819999999996,-60.73225000000001,31,4,970018,970018,1090099,1100001,1140084,1140084,1140084,1140084,1140084,1140084,1140084,NA,NA,NA,NA,1070121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090499,1090499,1090499,NA,1090499,1090499,1090499,1090499,1090499,1090499,1090499,NA,NA,NA,NA,NA,NA,NA,NA,1151443,1151443,NA,1151443,NA,1151443,1151443,1090680,1090680,1090680,NA,1090680
"TRAFALGAR",65,13,"NS","CA",143456,962400,1374294,FALSE,FALSE,FALSE,14,45.267900000000004,-62.21257000000001,49,5,1010002,1010002,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,NA,1040052,NA,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,1040052,NA,1040052,NA,1040052,1040052,NA,1040052,NA,1090622,1090622,1090622,1090622,NA,1090622,1090622,1090622,1090622,1090622,1090622,1090622,NA,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703,1090703
"MABOU",65,1,"NS","CA",143716,414490,1226982,FALSE,FALSE,FALSE,14,46.12688,-61.33859,24,2,1010002,1010002,1010002,1100001,1100001,1100001,1100001,NA,NA,NA,NA,1150347,1150347,NA,NA,NA,1070121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080032,NA,1080032,NA,NA,NA,1080032,1080032,1080032,1080032,NA,1080032,NA,1080032,1080032,1080032,NA,NA,NA,1080666,1080666,1080666,NA,NA,NA,990988
